	Date	Time	Price	Level1	Level2	Level3	ValveState1	ValveState2	ValveState3	ESP_control1	ESP_control2	ESP_control3	ESP_command1	ESP_command2	ESP_command3	Nett_control1	Nett_control2	Nett_control3	Nett_command1	Nett_command2	Nett_command3	Recommendation1	Recommendation2	Recommendation3	Nett_control
0	2021-04-14	20:07:25	18.0	200	100	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
1	2021-04-14	20:07:30	19.0	200	100	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
2	2021-04-14	20:09:57	21.0	185	115	50	1.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	1.0	1.0	1.0	
3	2021-04-14	20:10:05	24.0	185	115	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
4	2021-04-14	20:10:20	21.0	95	200	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
5	2021-04-14	20:10:25	20.0	95	200	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	1.0	0.0	
6	2021-04-14	20:10:37	18.0	95	190	60	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	1.0	0.0	
7	2021-04-14	20:10:40	23.0	95	180	70	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	1.0	0.0	
8	2021-04-14	20:10:49	24.0	95	180	70	1.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	1.0	1.0	1.0	
9	2021-04-14	20:10:53	23.0	95	180	70	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
10	2021-04-14	20:11:01	23.0	95	170	80	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
11	2021-04-14	20:11:03	18.0	95	160	90	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.0	0.0	0.0	
12	2021-04-17	11:29:37	25.07	200	100	50	0.09	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.09	0.09	0.09	
13	2021-04-17	11:31:44	25.07	200	100	50	0.09	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.09	0.09	0.09	
14	2021-04-17	11:32:54	25.07	200	100	50	0.09	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.09	0.09	0.09	
15	2021-04-17	11:33:01	25.07	200	100	50	0.09	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.09	0.09	0.09	
16	2021-04-17	12:47:49	24.88	200	100	50	0.04	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.04	0.04	0.04	
17	2021-04-17	12:51:27	24.88	200	100	50	0.04	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.04	0.04	0.04	
18	2021-04-22	14:30:23	21.51	200	100	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.27	0.27	0.27	
19	2021-04-22	15:23:52	21.53	200	100	50	0.0	0	0	0	0	1	0	0	0	0.0	1.0	1.0	0	0	0	0.28	0.28	0.28	
20	2021-04-23	21:15:20	23.26	200	100	50	0.0	0	0	0	0	1	0	0	0				0	0	0	0.31	0.31	0.31	
21	2021-04-23	21:17:57	23.26	200	100	50	0.0	0	0	0	0	1	0	0	0				0	0	0	0.31	0.31	0.31	
22	2021-04-23	21:18:08	23.26	200	100	50	0.0	0	0	0	0	1	0	0	0				0	0	0	0.31	0.31	0.31	
23	2021-04-23	21:35:05	23.26	200	100	50	0.0	0	0	0	0	1	0	0	0				0	0	0	0.31	0.31	0.31	0.0
24	2021-04-23	21:42:03	23.26	200	100	50	0.0	0	0	0	0	1	0	0	0				0	0	1	0.31	0.31	0.31	1.0
25	2021-04-23	21:42:55	23.26	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	0.31	0.31	0.31	1.0
26	2021-04-26	14:50:24	-1.0	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	0.0	0.0	0.0	1.0
27	2021-04-26	14:54:53	-1.0	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	0.0	0.0	0.0	1.0
28	2021-04-26	15:14:14	-1.0	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	0.0	0.0	0.0	1.0
29	2021-04-26	16:32:13	-1.0	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	0.0	0.0	0.0	1.0
30	2021-04-27	06:52:10	80.37	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	1.0	1.0	1.0	1.0
31	2021-04-27	06:52:33	80.37	200	100	50	1.0	0	0	0	0	1	0	0	0				1	0	1	1.0	1.0	1.0	1.0
